filename,text
captcha_1.png,xn753
captcha_10.png,dpnwh
captcha_100.png,n7n22
captcha_11.png,3pwbp
captcha_12.png,adkap
captcha_13.png,8ymgd
captcha_14.png,m58y4
captcha_15.png,ef4gp
captcha_16.png,bgrar
captcha_17.png,2en6f
captcha_18.png,dm3cr
captcha_19.png,d2yw3
captcha_2.png,6yh3w
captcha_20.png,r38w8
captcha_21.png,wxfwh
captcha_22.png,333mb
captcha_23.png,f3wx5
captcha_24.png,47pr4
captcha_25.png,hf65e
captcha_26.png,kn6xy
captcha_27.png,5wh2n
captcha_28.png,hdxxm
captcha_29.png,k2peb
captcha_3.png,deemg
captcha_30.png,my8ng
captcha_31.png,r2ar4
captcha_32.png,k2hfk
captcha_33.png,tr4hk
captcha_34.png,cyb42
captcha_35.png,gmh2
captcha_36.png,r8prp
captcha_37.png,hdkga
captcha_38.png,7fakk
captcha_39.png,n386k
captcha_4.png,bywpe
captcha_40.png,cd5b5
captcha_41.png,c7aeg
captcha_42.png,cdcg2
captcha_43.png,gn3mk
captcha_44.png,32r6y
captcha_45.png,n77ky
captcha_46.png,n5746
captcha_47.png,yc6k3
captcha_48.png,7yp5a
captcha_49.png,kbpy3
captcha_5.png,x26y3
captcha_50.png,n44de
captcha_51.png,phad2
captcha_52.png,пру4х
captcha_53.png,e2aff
captcha_54.png,28mkm
captcha_55.png,fke4n
captcha_56.png,ymbyd
captcha_57.png,63hp8
captcha_58.png,6pe5n
captcha_59.png,fcyaw
captcha_6.png,626rg
captcha_60.png,a33Γy
captcha_61.png,d8c42
captcha_62.png,drxb5
captcha_63.png,knfcm
captcha_64.png,y8mnd
captcha_65.png,yfwx5
captcha_66.png,afxyg
captcha_67.png,dc7an
captcha_68.png,2dapy
captcha_69.png,a732h
captcha_7.png,xg4eb
captcha_70.png,rk8wy
captcha_71.png,yh7ee
captcha_72.png,e22hh
captcha_73.png,58g3a
captcha_74.png,mx7cf
captcha_75.png,aegrw
captcha_76.png,rwcrk
captcha_77.png,8paga
captcha_78.png,7gypw
captcha_79.png,kdrp5
captcha_8.png,a4g7y
captcha_80.png,7ek3x
captcha_81.png,kcfbx
captcha_82.png,3mgwb
captcha_83.png,5253m
captcha_84.png,5nhec
captcha_85.png,e3h6x
captcha_86.png,rpggw
captcha_87.png,fhmnr
captcha_88.png,2r7a4
captcha_89.png,gyemb
captcha_9.png,na4xa
captcha_90.png,4mb8p
captcha_91.png,bdgnn
captcha_92.png,e2fdg
captcha_93.png,awncb
captcha_94.png,g8am7
captcha_95.png,8kw7p
captcha_96.png,r3g53
captcha_97.png,r24cf
captcha_98.png,36hmf
captcha_99.png,4n83h